Lambda,D_rot,score
10000000.0,0.0,0.9835
10000000.0,0.0,0.9846
10000000.0,0.0,0.984
10000000.0,0.0,0.9847
10000000.0,0.0,0.9834
10000000.0,0.0,0.9835
10000000.0,0.0,0.9856
10000000.0,0.0,0.984
10000000.0,0.0,0.9841
10000000.0,0.0,0.9847
10000000.0,0.0,0.9843
10000000.0,0.0,0.9843
10000000.0,0.0,0.9842
10000000.0,0.0,0.9856
10000000.0,0.0,0.9832
10000000.0,0.0,0.9826
10000000.0,0.0,0.9836
10000000.0,0.0,0.9843
10000000.0,0.0,0.9832
10000000.0,0.0,0.9856
10000000.0,0.0,0.9849
10000000.0,0.0,0.9857
10000000.0,0.0,0.9846
10000000.0,0.0,0.9864
10000000.0,0.0,0.9846
10000000.0,0.0,0.9848
10000000.0,0.0,0.9846
10000000.0,0.0,0.9834
10000000.0,0.0,0.9839
10000000.0,0.0,0.986
10000000.0,0.0,0.9848
10000000.0,0.0,0.9833
10000000.0,0.0,0.9831
10000000.0,0.0,0.9855
10000000.0,0.0,0.985
10000000.0,0.0,0.9838
10000000.0,0.0,0.9822
10000000.0,0.0,0.984
10000000.0,0.0,0.9855
10000000.0,0.0,0.9846
10000000.0,0.0,0.984
10000000.0,0.0,0.9829
10000000.0,0.0,0.9826
10000000.0,0.0,0.9859
10000000.0,0.0,0.9846
10000000.0,0.0,0.9841
10000000.0,0.0,0.9842
10000000.0,0.0,0.9838
10000000.0,0.0,0.9842
10000000.0,0.0,0.9853
10000000.0,0.0,0.9842
10000000.0,0.0,0.9853
10000000.0,0.0,0.9852
10000000.0,0.0,0.9848
10000000.0,0.0,0.9868
10000000.0,0.0,0.9841
10000000.0,0.0,0.985
10000000.0,0.0,0.9831
10000000.0,0.0,0.9855
10000000.0,0.0,0.984
10000000.0,0.0,0.9838
10000000.0,0.0,0.982
10000000.0,0.0,0.9848
10000000.0,0.0,0.9842
10000000.0,0.0,0.9827
10000000.0,0.0,0.9854
10000000.0,0.0,0.9857
10000000.0,0.0,0.9855
10000000.0,0.0,0.9857
10000000.0,0.0,0.9855
10000000.0,0.0,0.9868
10000000.0,0.0,0.9834
10000000.0,0.0,0.9834
10000000.0,0.0,0.9846
10000000.0,0.0,0.9829
10000000.0,0.0,0.9848
100000.0,0.0,0.8718
100000.0,0.0,0.8655
100000.0,0.0,0.8631
100000.0,0.0,0.8679
100000.0,0.0,0.8621
100000.0,0.0,0.8661
100000.0,0.0,0.8565
100000.0,0.0,0.865
100000.0,0.0,0.8629
100000.0,0.0,0.8617
100000.0,0.0,0.8612
100000.0,0.0,0.8612
100000.0,0.0,0.868
100000.0,0.0,0.8639
100000.0,0.0,0.8637
100000.0,0.0,0.8656
100000.0,0.0,0.8656
100000.0,0.0,0.8668
100000.0,0.0,0.8622
100000.0,0.0,0.8622
100000.0,0.0,0.8651
100000.0,0.0,0.8665
100000.0,0.0,0.8612
100000.0,0.0,0.8618
100000.0,0.0,0.8629
100000.0,0.0,0.8605
100000.0,0.0,0.8653
100000.0,0.0,0.8677
100000.0,0.0,0.8602
100000.0,0.0,0.8661
100000.0,0.0,0.8622
100000.0,0.0,0.865
100000.0,0.0,0.867
100000.0,0.0,0.8662
100000.0,0.0,0.866
100000.0,0.0,0.8632
100000.0,0.0,0.8664
100000.0,0.0,0.8629
100000.0,0.0,0.8628
100000.0,0.0,0.8604
100000.0,0.0,0.8594
100000.0,0.0,0.8657
100000.0,0.0,0.8609
100000.0,0.0,0.8643
100000.0,0.0,0.8656
100000.0,0.0,0.8651
100000.0,0.0,0.8625
100000.0,0.0,0.8628
100000.0,0.0,0.8665
100000.0,0.0,0.8671
100000.0,0.0,0.8648
100000.0,0.0,0.8637
100000.0,0.0,0.8651
100000.0,0.0,0.8632
100000.0,0.0,0.8613
100000.0,0.0,0.8581
100000.0,0.0,0.8632
100000.0,0.0,0.8618
100000.0,0.0,0.8669
